word,count
the,166
a,84
and,58
of,57
to,49
he,46
in,40
i,39
said,36
s,36
minister,35
prime,33
was,31
her,30
that,29
you,28
it,27
his,22
with,20
as,20
but,20
t,20
fudge,19
she,19
had,18
for,17
we,17
at,16
not,15
be,15
him,15
scrimgeour,15
narcissa,14
all,13
an,13
from,13
up,12
who,12
they,12
into,11
so,10
ve,10
on,10
can,9
well,9
this,9
there,9
bella,9
now,8
been,8
around,8
here,8
do,8
down,8
me,7
has,7
what,7
is,7
very,7
just,7
them,7
which,7
man,7
were,7
door,7
back,7
light,7
re,6
must,6
out,6
then,6
other,6
did,6
if,6
over,6
thought,6
my,6
looked,6
eyes,6
behind,6
already,6
fox,6
named,5
last,5
time,5
go,5
got,5
have,5
seemed,5
woman,5
rather,5
yes,5
right,5
still,5
moment,5
first,5
its,5
turned,5
second,5
under,5
asked,5
wand,5
cissy,5
dark,5
too,4
almost,4
after,4
no,4
though,4
office,4
won,4
alone,4
wasn,4
are,4
course,4
room,4
hand,4
upon,4
m,4
smile,4
d,4
by,4
voice,4
old,4
windows,4
your,4
wait,4
long,4
two,4
river,4
black,4
bank,4
figure,4
cloak,4
hood,4
followed,4
stood,4
sister,4
snape,4
off,3
giant,3
really,3
magical,3
say,3
amelia,3
bones,3
momentarily,3
any,3
maybe,3
about,3
one,3
barely,3
place,3
through,3
magic,3
looking,3
portrait,3
ll,3
clearly,3
green,3
their,3
like,3
or,3
curtains,3
let,3
shacklebolt,3
speak,3
merely,3
side,3
another,3
flash,3
street,3
houses,3
darkness,3
lord,3
moved,3
going,2
tell,2
hurricane,2
these,2
public,2
injuries,2
stopped,2
muggles,2
saw,2
happened,2
department,2
don,2
losing,2
law,2
may,2
person,2
because,2
spinning,2
see,2
gets,2
toward,2
catching,2
didn,2
day,2
listening,2
dementors,2
once,2
anymore,2
creatures,2
people,2
mist,2
made,2
think,2
whole,2
wizarding,2
community,2
fortnight,2
words,2
sitting,2
anything,2
kind,2
nothing,2
little,2
silver,2
dumbledore,2
twice,2
will,2
more,2
immediately,2
rufus,2
again,2
wizard,2
moments,2
new,2
robes,2
hair,2
pair,2
holding,2
told,2
heard,2
er,2
busy,2
security,2
drew,2
himself,2
replied,2
happy,2
imperius,2
curse,2
highly,2
work,2
without,2
auror,2
could,2
surely,2
attempted,2
shall,2
case,2
asthough,2
fire,2
slowly,2
stepped,2
spinner,2
end,2
away,2
dirty,2
between,2
chimney,2
apart,2
nose,2
some,2
grass,2
hooded,2
thin,2
air,2
take,2
few,2
set,2
listen,2
caught,2
arm,2
narrow,2
across,2
road,2
brick,2
inthe,2
streaming,2
broken,2
pursuer,2
face,2
wouldn,2
house,2
together,2
slightly,2
threw,2
bellatrix,2
books,2
sofa,2
cast,2
wormtail,2
pointed,2
small,2
suppose,1
caused,1
westcountry,1
temper,1
rising,1
every,1
pace,1
hetook,1
infuriating,1
discover,1
reason,1
terrible,1
disasters,1
able,1
worse,1
than,1
being,1
thegovernment,1
fault,1
miserably,1
excuse,1
barked,1
positively,1
stamping,1
anddown,1
trees,1
uprooted,1
roofs,1
ripped,1
lampposts,1
bent,1
horrible,1
death,1
eaters,1
sfollowers,1
suspect,1
involvement,1
tracks,1
hit,1
invisiblewall,1
whatinvolvement,1
grimaced,1
used,1
giants,1
when,1
wanted,1
grand,1
effect,1
misinformation,1
working,1
clock,1
teams,1
obliviators,1
trying,1
modify,1
thememories,1
mostof,1
regulation,1
control,1
creaturesrunning,1
somerset,1
find,1
disaster,1
furiously,1
deny,1
morale,1
pretty,1
low,1
ministry,1
whatwith,1
head,1
enforcement,1
wethink,1
murdered,1
gifted,1
witch,1
evidence,1
sheput,1
real,1
fight,1
cleared,1
throat,1
effort,1
hisbowler,1
hat,1
murder,1
newspapers,1
diverted,1
anger,1
ournewspapers,1
middle,1
aged,1
lived,1
nastykilling,1
lot,1
publicity,1
police,1
baffled,1
sighed,1
killed,1
thatwas,1
locked,1
inside,1
know,1
exactlywho,1
us,1
further,1
thenthere,1
emmeline,1
vance,1
hear,1
oh,1
cornerfrom,1
matter,1
fact,1
papers,1
field,1
breakdown,1
order,1
backyard,1
enough,1
primeminister,1
swarming,1
attacking,1
peopleleft,1
center,1
happier,1
sentence,1
would,1
unintelligible,1
tothe,1
wiser,1
guard,1
prisoners,1
azkaban,1
cautiously,1
wearily,1
deserted,1
theprison,1
joined,1
pretend,1
blow,1
sense,1
dawning,1
horror,1
youtell,1
drain,1
hope,1
happiness,1
breeding,1
causing,1
sank,1
weak,1
kneed,1
nearest,1
chair,1
idea,1
ofinvisible,1
swooping,1
towns,1
countryside,1
spreading,1
despair,1
hopelessness,1
voters,1
feel,1
quite,1
faint,1
something,1
yourresponsibility,1
dear,1
honestly,1
ofmagic,1
sacked,1
three,1
days,1
ago,1
screaming,1
resignation,1
never,1
known,1
united,1
term,1
brave,1
attempt,1
lost,1
despite,1
hisindignation,1
position,1
placed,1
feltfor,1
shrunken,1
opposite,1
sorry,1
finally,1
sent,1
heretonight,1
bring,1
date,1
recent,1
events,1
introduce,1
successor,1
busyat,1
much,1
ugly,1
wearing,1
longcurly,1
wig,1
digging,1
ear,1
point,1
quill,1
catchingfudge,1
eye,1
finishingaletter,1
wish,1
luck,1
sounding,1
bitter,1
beenwriting,1
past,1
budge,1
prepared,1
persuade,1
boy,1
might,1
success,1
subsided,1
aggrieved,1
silence,1
wasbroken,1
suddenly,1
spoke,1
crisp,1
official,1
requesting,1
meeting,1
urgent,1
kindlyrespond,1
fine,1
distractedly,1
flinchedas,1
flames,1
grate,1
emerald,1
rose,1
revealed,1
heart,1
disgorging,1
later,1
onto,1
theantique,1
rug,1
feet,1
hesitation,1
same,1
watching,1
arrival,1
straighten,1
dust,1
longblack,1
look,1
foolish,1
lion,1
streaks,1
